序号,单词/词组,词性,类型,难度
1,absence,名词,单词,3
2,academic,形容词,单词,3
3,accurate,形容词,单词,3
4,achievement,名词,单词,5
5,acid,名词,单词,1
6,activated,名词,单词,4
7,actor,名词,单词,2
8,adaptation,名词,单词,4
9,adult,名词,单词,2
10,advance,名词,单词,3
11,advertising,名词,单词,5
12,africa,名词,单词,2
13,afternoon,名词,单词,4
14,ages,名词,单词,1
15,agriculture,名词,单词,5
16,airport,名词,单词,3
17,alarm,名词,单词,2
18,all,名词,单词,1
19,alone,名词,单词,2
20,ambitions,名词,单词,4
21,analysis,名词,单词,3
22,animal,形容词,单词,2
23,animal magic,名词,词组,5
24,animals,名词,单词,3
25,annual fee,名词,词组,4
26,answer phone,名词,词组,5
27,anxiety,名词,单词,3
28,apartments,名词,单词,4
29,app,名词,单词,1
30,appointment,名词,单词,5
31,appointments,名词,单词,5
32,approach,名词,单词,3
33,approximately,副词,单词,5
34,april,名词,单词,2
35,art,名词,单词,1
36,aspirations,名词,单词,5
37,assessed,名词,单词,3
38,assessment,名词,单词,4
39,assistant,名词,单词,4
40,assumption,名词,单词,4
41,atlas,名词,单词,2
42,attack,名词,单词,2
43,attention,名词,单词,4
44,attitude,名词,单词,3
45,aunt,名词,单词,1
46,automatic,形容词,单词,4
47,avenue,名词,单词,2
48,average,名词,单词,3
49,babies,名词,单词,2
50,baby,名词,单词,1
51,back,名词,单词,1
52,background,名词,单词,4
53,bags,名词,单词,1
54,balance,名词,单词,3
55,balcony,名词,单词,3
56,balloon,名词,单词,3
57,band,名词,单词,1
58,bank,名词,单词,1
59,basic,形容词,单词,2
60,bath,名词,单词,1
61,bathroom,名词,单词,3
62,bay,形容词,单词,1
63,beach,名词,单词,2
64,beaches,名词,单词,3
65,bed,名词,单词,1
66,bedsit,名词,单词,2
67,bees,名词,单词,1
68,beginners,名词,单词,4
69,behavior,名词,单词,3
70,behaviour,名词,单词,4
71,bicycle,名词,单词,3
72,bike,名词,单词,1
73,bikes,名词,单词,2
