序号,单词/词组,类型,难度
1,book,单词,1
2,build,单词,2
3,buy,单词,1
4,check,单词,2
5,choose,单词,2
6,climate,单词,3
7,climb,单词,2
8,collect,单词,3
9,come,单词,1
10,complete,单词,3
11,cooperate,单词,4
12,cost,单词,1
13,decorate,单词,3
14,decrease,单词,3
15,drink,单词,2
16,edit,单词,1
17,evaluate,单词,3
18,feed,单词,1
19,fifteen,单词,3
20,filter,单词,2
21,gather,单词,2
22,go,单词,1
23,green,单词,2
24,guide,单词,2
25,kitchen,单词,3
26,late,单词,1
27,learn,单词,2
28,move,单词,1
29,oxygen,单词,2
30,persuade,单词,3
31,plan,单词,1
32,play,单词,1
33,practise,单词,3
34,private,单词,3
35,reduce,单词,2
36,reserve,单词,3
37,see,单词,1
38,select,单词,2
39,send,单词,1
40,socialise,单词,4
41,socialize,单词,4
42,specialise,单词,4
43,study,单词,2
44,supervise,单词,4
45,travel,单词,2
46,view,单词,1
47,wait,单词,1
48,women,单词,2
49,work,单词,1
50,write,单词,2
