序号,单词/词组,类型,难度
1,absence,单词,3
2,achievement,单词,5
3,acid,单词,1
4,activated,单词,4
5,actor,单词,2
6,adaptation,单词,4
7,adult,单词,2
8,advance,单词,3
9,advertising,单词,5
10,africa,单词,2
11,afternoon,单词,4
12,ages,单词,1
13,agriculture,单词,5
14,airport,单词,3
15,alarm,单词,2
16,all,单词,1
17,alone,单词,2
18,ambitions,单词,4
19,analysis,单词,3
20,animal magic,词组,5
21,animals,单词,3
22,annual fee,词组,4
23,answer phone,词组,5
24,anxiety,单词,3
25,apartments,单词,4
26,app,单词,1
27,appointment,单词,5
28,appointments,单词,5
29,approach,单词,3
30,april,单词,2
31,art,单词,1
32,aspirations,单词,5
33,assessed,单词,3
34,assessment,单词,4
35,assistant,单词,4
36,assumption,单词,4
37,atlas,单词,2
38,attack,单词,2
39,attention,单词,4
40,attitude,单词,3
41,aunt,单词,1
42,avenue,单词,2
43,average,单词,3
44,babies,单词,2
45,baby,单词,1
46,back,单词,1
47,background,单词,4
48,bags,单词,1
49,balance,单词,3
50,balcony,单词,3
51,balloon,单词,3
52,band,单词,1
53,bank,单词,1
54,bath,单词,1
55,bathroom,单词,3
56,beach,单词,2
57,beaches,单词,3
58,bed,单词,1
59,bedsit,单词,2
60,bees,单词,1
61,beginners,单词,4
62,behavior,单词,3
63,behaviour,单词,4
64,bicycle,单词,3
65,bike,单词,1
66,bikes,单词,2
67,bill,单词,1
68,biology lesson,词组,5
69,bitterness,单词,4
70,blog,单词,1
71,blue,单词,1
72,board,单词,2
73,boat,单词,1
74,bone,单词,1
75,bones,单词,2
76,booking,单词,3
77,bookshop,单词,3
78,bookstore,单词,4
79,boots,单词,2
80,bottle,单词,2
81,bottom,单词,2
82,box,单词,1
83,brain,单词,2
84,brake,单词,2
85,branch,单词,2
86,break,单词,2
87,breathing,单词,4
88,breeding,单词,3
89,bridge,单词,2
90,brother in law,词组,5
91,budget,单词,2
92,building,单词,3
93,bullying,单词,3
94,business,单词,3
95,business card,词组,5
96,butterflies,单词,5
97,button,单词,2
98,cab,单词,1
99,cabins,单词,2
100,cafe,单词,1
101,calories,单词,3
102,camera,单词,2
103,canadian,单词,3
104,capital,单词,3
105,capitalism,单词,4
106,car,单词,1
107,car park,词组,3
108,card,单词,1
109,care,单词,1
110,cash,单词,1
111,castle,单词,2
112,catalogue,单词,4
113,cathedral,单词,4
114,cattle,单词,2
115,cave,单词,1
116,caves,单词,2
117,cd,单词,1
118,center,单词,2
119,change,单词,2
120,character,单词,4
121,chat,单词,1
122,checklist,单词,4
123,cheese,单词,2
124,chefs,单词,2
125,cheque,单词,2
126,children,单词,3
127,chocolate,单词,4
128,chocolate bar,词组,5
129,choices,单词,3
130,christmas day,词组,5
131,cigar,单词,2
132,cinema,单词,2
133,circles,单词,3
134,city,单词,1
135,city centre,词组,5
136,clapping,单词,3
137,clarinet,单词,3
138,class,单词,2
139,classical music,词组,5
140,classification,单词,5
141,classroom,单词,4
142,clay,单词,1
143,cleaner,单词,3
144,clear voice,词组,5
145,cliffs,单词,2
146,clothes,单词,3
147,clothing,单词,3
148,clouds,单词,2
149,club,单词,1
150,clubhouse,单词,4
151,clubs,单词,2
152,coal,单词,1
153,coconut,单词,3
154,code,单词,1
155,coffee,单词,2
156,coins,单词,2
157,collecting,单词,4
158,collection,单词,4
159,college,单词,3
160,colony,单词,2
161,color,单词,2
162,colour,单词,2
163,combination,单词,5
164,comets,单词,2
165,communication,单词,5
166,competition,单词,5
167,complex,单词,3
168,complicated,单词,5
169,computer,单词,3
170,concert,单词,3
171,concrete,单词,3
172,conditioner,单词,5
173,conference,单词,4
174,confidence,单词,4
175,confusion,单词,4
176,conservation,单词,5
177,consumer,单词,3
178,consumption,单词,5
179,contact,单词,3
180,container,单词,4
181,control,单词,3
182,conversation,单词,5
183,cooker,单词,2
184,cooking,单词,3
185,cooks,单词,2
186,cooperation,单词,5
187,correction,单词,4
188,cottage,单词,3
189,count,单词,2
190,country,单词,3
191,course,单词,2
192,creation,单词,3
193,creativeness,单词,5
194,creativity,单词,4
195,creature,单词,3
196,credit,单词,2
197,crime,单词,2
198,crisis,单词,2
199,crow,单词,1
200,crying,单词,2
201,crystal,单词,3
202,culture,单词,3
203,curtains,单词,3
204,curved,单词,2
205,customer,单词,3
206,customers,单词,4
207,cycling,单词,3
208,damage,单词,2
209,dance,单词,2
210,dances,单词,2
211,dancing,单词,3
212,data,单词,1
213,database,单词,3
214,day off,词组,3
215,decade,单词,2
216,december,单词,3
217,decline,单词,3
218,declining,单词,4
219,decoration,单词,4
220,delay,单词,2
221,deliveries,单词,4
222,demand,单词,2
223,dentist,单词,3
224,department,单词,4
225,deposit,单词,3
226,depression,单词,4
227,description,单词,5
228,desert,单词,2
229,design,单词,2
230,desks,单词,2
